id,root
1,2
2,35
3,26
4,1
5,1
6,5
7,2
8,25
9,23
10,10
11,29
12,8
13,35
14,6
15,5
16,14
17,25
18,4
19,4
20,17
21,5
22,19
23,3
24,34
25,2
26,1
27,6
28,9
29,14
30,27
31,6
32,14
33,1
34,8
35,15
36,25
37,30
38,22
39,12
40,14
41,20
42,27
43,24
44,11
45,25
46,10
47,3
48,2
49,16
50,19
51,20
52,7
53,11
54,55
55,17
56,4
57,22
58,37
59,21
60,7
61,11
62,7
63,1
64,1
65,20
66,8
67,13
68,30
69,11
70,15
71,5
72,36
73,30
74,3
75,19
76,1
77,8
78,7
79,3
80,39
81,1
82,6
83,13
84,8
85,22
86,8
87,30
88,14
89,14
90,21
91,22
92,11
93,40
94,4
95,8
96,2
97,4
98,17
99,8
100,29
101,26
102,6
103,7
104,13
105,17
106,6
107,27
108,6
109,16
110,22
111,1
112,5
113,39
114,6
115,6
116,8
117,14
118,16
119,24
120,13
121,10
122,4
123,5
124,18
125,3
126,3
127,11
128,30
129,10
130,22
131,30
132,2
133,4
134,8
135,6
136,13
137,3
138,21
139,3
140,1
141,9
142,24
143,12
144,13
145,7
146,16
147,14
148,4
149,2
150,3
151,8
152,5
153,23
154,33
155,3
156,8
157,3
158,7
159,6
160,2
161,24
162,19
163,8
164,3
165,9
166,4
167,8
168,21
169,23
170,13
171,21
172,2
173,20
174,1
175,11
176,3
177,16
178,13
179,1
180,22
181,5
182,1
183,9
184,15
185,6
186,14
187,10
188,14
189,4
190,13
191,1
192,2
193,2
194,1
195,19
196,13
197,26
198,4
199,9
200,19
201,9
202,3
203,9
204,6
205,5
206,33
207,1
208,10
209,6
210,8
211,10
212,6
213,7
214,36
215,19
216,19
217,1
218,9
219,20
220,3
221,29
222,5
223,18
224,11
225,20
226,11
227,5
228,19
229,5
230,10
231,1
232,23
233,17
234,24
235,19
236,24
237,5
238,5
239,11
240,2
241,4
242,18
243,13
244,28
245,20
246,25
247,15
248,8
249,13
250,10
251,23
252,21
253,3
254,24
255,9
256,25
257,21
258,30
259,12
260,14
261,6
262,33
263,4
264,15
265,4
266,21
267,8
268,6
269,24
270,39
271,10
272,18
273,26
274,15
275,7
276,27
277,34
278,4
279,6
280,31
281,11
282,5
283,17
284,8
285,7
286,1
287,12
288,4
289,7
290,1
291,7
292,8
293,23
294,24
295,15
296,1
297,17
298,21
299,9
300,7
301,2
302,27
303,33
304,2
305,27
306,6
307,27
308,3
309,4
310,5
311,23
312,35
313,7
314,9
315,12
316,3
317,3
318,8
319,17
320,39
321,3
322,15
323,7
324,13
325,17
326,22
327,11
328,13
329,12
330,30
331,4
332,1
333,2
334,34
335,7
336,12
337,9
338,6
339,23
340,27
341,1
342,12
343,14
344,1
345,12
346,18
347,32
348,8
349,10
350,12
351,13
352,39
353,26
354,9
355,17
356,6
357,2
358,19
359,6
360,27
361,15
362,12
363,1
364,25
365,13
366,12
367,12
368,18
369,8
370,19
371,21
372,14
373,33
374,13
375,3
376,1
377,10
378,6
379,1
380,24
381,20
382,2
383,9
384,4
385,1
386,6
387,8
388,5
389,20
390,3
391,6
392,14
393,6
394,20
395,11
396,11
397,11
398,43
399,21
400,27
401,6
402,13
403,7
404,11
405,13
406,12
407,11
408,2
409,7
410,3
411,14
412,1
413,40
414,11
415,11
416,2
417,38
418,10
419,3
420,13
421,19
422,14
423,12
424,19
425,15
426,14
427,25
428,10
429,2
430,8
431,21
432,14
433,30
434,20
435,10
436,4
437,27
438,28
439,20
440,29
441,11
442,7
443,11
444,3
445,5
446,5
447,5
448,9
449,16
450,1
451,4
452,10
453,15
454,1
455,22
456,13
457,2
458,7
459,6
460,18
461,17
462,21
463,3
464,2
465,12
466,9
467,4
468,4
469,22
470,5
471,15
472,6
473,17
474,13
475,31
476,20
477,10
478,7
479,8
480,49
481,24
482,12
483,30
484,42
485,1
486,6
487,25
488,19
489,2
490,26
491,20
492,8
493,6
494,12
495,11
496,12
497,15
498,6
499,13
500,2
501,3
502,1
503,8
504,11
505,2
506,1
507,6
508,8
509,3
510,11
511,1
512,6
513,10
514,1
515,13
516,4
517,3
518,4
519,11
520,7
521,5
522,10
523,18
524,7
525,23
526,5
527,1
528,7
529,10
530,9
531,1
532,1
533,5
534,5
535,2
536,4
537,10
538,12
539,5
540,9
541,3
542,8
543,20
544,12
545,17
546,2
547,7
548,18
549,21
550,5
551,2
552,22
553,6
554,9
555,6
556,5
557,6
558,3
559,3
560,10
561,4
562,10
563,17
564,4
565,1
566,8
567,7
568,3
569,1
570,8
571,2
572,13
573,11
574,13
575,5
576,19
577,4
578,12
579,9
580,2
581,7
582,11
583,11
584,15
585,12
586,13
587,8
588,9
589,3
590,14
591,10
592,7
593,18
594,8
595,19
596,11
597,4
598,2
599,9
600,16
601,4
602,18
603,3
604,11
605,11
606,1
607,10
608,22
609,6
610,16
611,6
612,13
613,5
614,7
615,6
616,7
617,15
618,3
619,17
620,5
621,13
622,9
623,12
624,12
625,8
626,7
627,4
628,10
629,13
630,10
631,8
632,3
633,8
634,5
635,6
636,6
637,10
638,3
639,4
640,11
641,8
642,5
643,2
644,4
645,5
646,4
647,10
648,9
649,9
650,4
651,12
652,8
653,3
654,6
655,11
656,11
657,13
658,4
659,1
660,4
661,2
662,8
663,11
664,12
665,2
666,9
667,6
668,4
669,12
670,1
671,7
672,9
673,8
674,3
675,7
676,7
677,18
678,2
679,9
680,10
681,7
682,8
683,3
684,13
685,5
686,8
687,2
688,8
689,13
690,15
691,2
692,20
693,3
694,6
695,4
696,11
697,5
698,2
699,10
700,15
701,19
702,1
703,19
704,10
705,12
706,11
707,3
708,5
709,24
710,4
711,18
712,2
713,3
714,10
715,15
716,6
717,9
718,2
719,1
720,3
721,6
722,7
723,4
724,9
725,2
726,6
727,6
728,8
729,12
730,6
731,4
732,11
733,5
734,4
735,7
736,8
737,5
738,4
739,2
740,3
741,11
742,6
743,11
744,11
745,14
746,6
747,5
748,2
749,4
750,5
751,10
752,3
753,10
754,20
755,28
756,12
757,14
758,1
759,15
760,12
761,6
